Date,Site,Start_Coords,Start Time,End Coords,End_Time,Vial,Researchers_present,Notes
6/21/2019,Snowville,SQMS + SQMF,8:30,S28,8:40,112R,1,"removed 5:30, walked between listed plots "
6/28/2019,Snowville,SQMS ,9:30,SQMF,11:00,51R,1,removed 11:30
6/21/2019,Snowville,SQMF,12:00,SQMF,12:30,121R,3,
6/21/2019,Snowville,S28,12:30,S28,1:07,158R,2,
6/21/2019,Snowville,SQMF,16:07,SQMF,16:30,140R,2,end time not stated on data sheet
6/21/2019,Kent,NA,NA,NA,17:00,194R,1,
6/21/2019,Snowville,SQ14,10:00,SQ14,10:30,196R,8,
6/21/2019,Snowville,S28,12:00,S28,12:30,183R,2,
6/21/2019,Snowville,S28,1:00,S28,1:30,197R,1,
6/21/2019,Snowville,S28,1:30,S28,2:00,187R,1,
6/21/2019,Snowville,S11,10:40,S11,11:10,172R,3,
6/21/2019,Snowville,S16,11:10,S16,11:40,NA,3,0 ticks
6/21/2019,Snowville,S16,11:40,S16,12:10,163R,3,2 ticks
6/21/2019,Snowville,S16,12:10,S16,12:40,NA,3,0 ticks
6/21/2019,Snowville,S16,12:40,S16,1:10,200R,2,1 tick
