WeatherStation,Date,Tmax,Tmin,RHMax,RHMin
KentStandingRock,7/8/2019,31.1,14.4,97,50
KentStandingRock,7/9/2019,31.1,14.4,97,50
KentStandingRock,7/10/2019,29.4,26.1,99,59
Fieldstone,6/25/2019,28.9,17.8,98,37
Fieldstone,6/26/2019,31,18.8,95,43
Fieldstone,6/27/2019,32.8,17.2,99,44
CVNPHudson,6/17/2019,22.2,17.2,99,86
CVNPHudson,6/18/2019,25,16.7,99,67
CVNPHudson,6/19/2019,27.2,16.1,98,61
CVNPHudson,6/20/2019,22.2,16.1,99,89
CVNPHudson,6/21/2019,22.8,12.8,99,41
CVNPHudson,6/22/2019,23.9,12.8,94,46
CVNPHudson,6/23/2019,27.2,11.1,98,39
CVNPHudson,6/24/2019,27.8,20,99,60
CVNPHudson,6/25/2019,28.3,17.8,99,41
CVNPHudson,6/26/2019,30,18.9,89,49
CVNPHudson,6/27/2019,31.1,18.3,97,45
CVNPHudson,6/28/2019,31.6,18.9,99,50
CVNPHudson,6/29/2019,31.1,20,98,60
CVNPHudson,6/30/2019,25.6,15.6,99,45
CVNPHudson,7/1/2019,32.8,17.8,99,39
CVNPHudson,7/2/2019,30,20,98,60
CVNPHudson,7/3/2019,31.1,20.6,99,60
CVNPHudson,7/4/2019,31.1,20.6,99,60
CVNPHudson,7/5/2019,32.2,20.6,99,60
CVNPHudson,7/6/2019,31.6,21.1,98,64
CVNPHudson,7/7/2019,27.2,13.9,95,39
CVNPHudson,7/8/2019,27.2,13.9,95,39
CVNPHudson,7/9/2019,32.2,18.9,99,40
CVNPHudson,7/10/2019,32.2,18.9,99,40
CVNPHudson,7/11/2019,24.4,16.1,98,67
CVNPHudson,7/12/2019,24.4,16.1,98,67
CVNPHudson,7/13/2019,30.6,15.6,99,48
CVNPHudson,7/14/2019,27.2,15.6,91,31
CVNPHudson,7/15/2019,31.7,13.9,99,42
CVNPHudson,7/16/2019,27.2,13.9,95,39
CVNPHudson,7/17/2019,28.3,20.6,99,74
CVNPHudson,7/18/2019,31.7,18.9,99,53
